TxnDate,TxnTime,Air Flow
01-Feb-22,23:39:29,956
01-Feb-22,23:59:16,1072
01-Feb-22,22:59:11,946
01-Feb-22,23:19:34,1012
01-Feb-22,22:18:46,940
01-Feb-22,21:58:36,961
01-Feb-22,21:35:38,994
01-Feb-22,20:11:54,931
01-Feb-22,19:29:47,952
01-Feb-22,19:51:07,1055
01-Feb-22,18:29:17,954
01-Feb-22,17:47:51,1023
01-Feb-22,17:08:31,977
01-Feb-22,17:28:44,988
01-Feb-22,16:46:40,998
01-Feb-22,14:41:48,866
01-Feb-22,15:23:05,991
01-Feb-22,15:03:14,1078
01-Feb-22,15:42:55,968
01-Feb-22,16:04:00,944
01-Feb-22,16:26:28,977
01-Feb-22,13:40:04,1137
01-Feb-22,14:00:03,896
01-Feb-22,14:00:03,896
01-Feb-22,14:20:03,869
01-Feb-22,12:39:22,1170
01-Feb-22,13:01:35,1130
01-Feb-22,11:57:31,1118
01-Feb-22,11:14:33,1215
01-Feb-22,11:35:28,1219
01-Feb-22,10:53:39,1222
01-Feb-22,10:32:29,1183
01-Feb-22,10:11:02,1158
01-Feb-22,9:51:31,1231
01-Feb-22,9:51:31,1231
01-Feb-22,9:29:59,1211
01-Feb-22,8:07:57,1139
01-Feb-22,8:29:14,1137
01-Feb-22,9:09:44,1275
01-Feb-22,8:48:25,1216
01-Feb-22,8:48:25,1216
01-Feb-22,7:46:19,1179
01-Feb-22,7:26:39,1163
01-Feb-22,7:01:46,1121
01-Feb-22,6:41:50,1176
01-Feb-22,6:20:36,1199
01-Feb-22,5:41:26,1202
01-Feb-22,6:00:26,1190
01-Feb-22,5:01:34,1326
01-Feb-22,5:20:47,1183
01-Feb-22,4:21:03,1194
01-Feb-22,4:41:40,1280
01-Feb-22,2:59:52,1138
01-Feb-22,4:01:08,1219
01-Feb-22,3:41:04,1198
01-Feb-22,3:20:48,1090
01-Feb-22,1:58:34,1130
01-Feb-22,1:38:01,1209
01-Feb-22,2:19:27,1153
01-Feb-22,2:38:51,1127
01-Feb-22,0:17:01,1195
01-Feb-22,0:36:31,1173
01-Feb-22,1:18:41,1260
01-Feb-22,0:58:08,1095
02-Feb-22,21:17:04,993
02-Feb-22,21:38:20,1085
02-Feb-22,22:00:18,945
02-Feb-22,20:11:55,1051
02-Feb-22,20:55:14,1028
02-Feb-22,20:34:35,1024
02-Feb-22,23:28:46,1042
02-Feb-22,23:47:52,1030
02-Feb-22,23:07:23,1014
02-Feb-22,22:44:35,983
02-Feb-22,22:20:47,1044
02-Feb-22,16:57:43,1004
02-Feb-22,16:35:45,1038
02-Feb-22,17:20:49,1024
02-Feb-22,15:51:48,989
02-Feb-22,16:14:01,1030
02-Feb-22,14:47:45,1014
02-Feb-22,15:08:01,956
02-Feb-22,19:49:40,1111
02-Feb-22,19:05:41,960
02-Feb-22,18:44:47,957
02-Feb-22,18:03:39,1046
02-Feb-22,18:24:47,1005
02-Feb-22,17:42:51,1110
02-Feb-22,7:53:10,892
02-Feb-22,8:13:56,1009
02-Feb-22,7:29:58,992
02-Feb-22,7:08:50,942
02-Feb-22,5:27:00,955
02-Feb-22,5:49:45,959
02-Feb-22,6:09:03,1050
02-Feb-22,6:29:37,977
02-Feb-22,6:49:03,929
02-Feb-22,8:54:52,996
02-Feb-22,8:34:16,1026
02-Feb-22,9:36:39,930
02-Feb-22,3:05:18,1062
02-Feb-22,3:27:02,958
02-Feb-22,3:46:48,937
02-Feb-22,4:46:52,889
02-Feb-22,5:06:51,872
02-Feb-22,4:26:53,900
02-Feb-22,4:07:14,988
02-Feb-22,1:41:10,972
02-Feb-22,2:03:54,947
02-Feb-22,2:24:23,970
02-Feb-22,1:19:50,1012
02-Feb-22,1:00:34,939
02-Feb-22,0:19:10,878
02-Feb-22,0:39:59,938
02-Feb-22,14:06:26,960
02-Feb-22,13:22:28,1090
02-Feb-22,13:44:06,1015
02-Feb-22,13:44:06,1015
02-Feb-22,14:27:26,996
02-Feb-22,12:38:47,985
02-Feb-22,12:59:36,1025
02-Feb-22,11:18:08,998
02-Feb-22,11:38:27,1035
02-Feb-22,11:58:57,1041
02-Feb-22,12:38:47,985
02-Feb-22,12:18:51,1030
02-Feb-22,10:58:21,1041
02-Feb-22,10:37:42,922
02-Feb-22,10:17:03,1004
03-Feb-22,22:29:34,949
03-Feb-22,22:50:29,943
03-Feb-22,23:55:40,996
03-Feb-22,23:30:41,1003
03-Feb-22,23:10:55,1010
03-Feb-22,7:30:40,1022
03-Feb-22,7:09:42,995
03-Feb-22,7:52:38,962
03-Feb-22,9:37:37,1006
03-Feb-22,9:16:05,946
03-Feb-22,8:33:02,966
03-Feb-22,8:54:35,1043
03-Feb-22,8:11:45,1000
03-Feb-22,11:03:16,914
03-Feb-22,11:23:34,962
03-Feb-22,10:40:38,959
03-Feb-22,9:58:11,1029
03-Feb-22,10:18:37,1002
03-Feb-22,12:28:48,993
